Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,StreamingServices,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Age,Married,Number of Referrals,Avg Monthly GB Download,Premium Tech Support,Unlimited Data,Churn
No,2.0,Yes,No,DSL,Yes,No,Yes,No,No,Month-to-month,Yes,eSewa,1615.5,37,No,0,21,No,Yes,1
No,2.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2121.0,19,No,0,51,No,Yes,1
No,8.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2989.5,31,No,0,26,No,Yes,1
No,28.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3144.0,23,Yes,0,47,Yes,Yes,1
No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mobile Banking,3111.0,38,No,0,11,No,Yes,1
Yes,10.0,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),1656.0,21,Yes,6,69,Yes,Yes,1
No,1.0,No,No,DSL,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,1189.5,78,No,0,8,No,No,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,604.5,29,No,0,0,No,No,1
Yes,47.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2980.5,61,Yes,1,16,No,Yes,1
Yes,1.0,No,No,DSL,No,No,Yes,No,No,Month-to-month,No,Cash,906.0,27,Yes,1,58,No,Yes,1
Yes,17.0,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,eSewa,1941.0,20,No,0,41,No,Yes,1
No,5.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2091.0,56,No,0,58,No,Yes,1
No,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3190.5,51,No,0,28,No,Yes,1
No,11.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Mobile Banking,2935.5,48,No,0,18,No,Yes,1
No,2.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2419.5,32,No,0,19,No,No,1
No,15.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2973.0,34,No,0,20,No,Yes,1
No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2419.5,74,Yes,1,17,No,Yes,1
No,18.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2863.5,71,No,0,52,No,Yes,1
No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Cash,2832.0,41,No,0,29,No,Yes,1
Yes,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2380.5,32,No,0,57,No,Yes,1
No,7.0,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Mobile Banking,2254.5,34,Yes,1,53,No,Yes,1
No,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Cash,2368.5,34,No,0,56,No,No,1
No,5.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,631.5,30,No,0,0,No,No,1
No,25.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2955.0,78,Yes,1,12,No,Yes,1
No,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Mobile Banking,3300.0,26,Yes,4,47,Yes,Yes,1
No,55.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,Yes,Cash,2902.5,37,Yes,0,27,No,Yes,1
No,37.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2295.0,80,Yes,1,14,No,Yes,1
Yes,10.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,Cash,3007.5,62,Yes,1,30,No,Yes,1
No,3.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2232.0,21,No,0,71,No,Yes,1
No,27.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Cash,2341.5,72,No,0,18,No,No,1
Yes,25.0,No,No,DSL,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),1758.0,27,Yes,6,48,No,Yes,1
No,1.0,No,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Cash,1063.5,64,No,0,22,No,Yes,1
No,2.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,Cash,1330.5,45,No,0,3,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,eSewa,2113.5,76,Yes,1,30,No,Yes,1
No,8.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Month-to-month,No,Cash,2134.5,53,No,0,18,Yes,Yes,1
